"gdp_pps","unemployment","life_expectancy","disposable_income","poverty_risk","early_school_leaving","tertiary_edu","emp_agriculture","emp_industry","emp_services","rd_expenditure","pop_density","renewables_share","ghg_emissions","municipal_waste","geo","country"
18100,4.6,75.8,71,15,7.5,22.5,2.05580029368576,33.7922173274596,19.5117474302496,1.16,225.2,17.614,93852276.54,570,"CZ08","CZ"
58500,3.1,82.3,159,14.5,11.2,35.5,0.717262770185131,32.3785984297761,17.4275467674712,6.81,393.7,19.302,614397640.24,648,"DE11","DE"
48200,3.4,81.7,131,17.2,10.5,34.2,4.2098184263618,25.644045340792,19.034300014721,5.38,409.5,19.302,614397640.24,648,"DE12","DE"
41400,3.2,82.1,112,15.7,11.5,33.6,1.44980506822612,29.9883938934024,18.5340594589769,3.07,245.5,19.302,614397640.24,648,"DE13","DE"
47900,3,82.4,130,15.6,13.3,33.1,2.50938258885864,31.5472001608525,17.4122851110888,5.47,214.9,19.302,614397640.24,648,"DE14","DE"
65000,2.7,82.4,177,14.5,8.4,43.2,1.05184402781445,21.7322418801162,18.4314761024558,4.46,274.4,19.302,614397640.24,648,"DE21","DE"
43800,1.8,80.6,119,17.5,10.9,27.4,2.45274852113692,30.0389554176886,18.3234742461405,1.35,121.5,19.302,614397640.24,648,"DE22","DE"
47700,2.4,80.6,129,18.6,14.9,31.1,4.2098184263618,29.660871062145,17.8171802375624,2.73,115.3,19.302,614397640.24,648,"DE23","DE"
42900,3.3,80.3,116,17.9,11.5,30.6,1.7239922251331,28.7449392712551,18.2186234817814,2.49,147.4,19.302,614397640.24,648,"DE24","DE"
49600,3.4,80.7,135,18,14.9,32.8,1.54560810810811,26.6983610659327,17.6279244338796,3.66,246.1,19.302,614397640.24,648,"DE25","DE"
44000,2.6,81.6,119,20.8,11.5,30.8,4.65312380222307,26.5664160401003,20.6627680311891,3.05,155.1,19.302,614397640.24,648,"DE26","DE"
42900,2.8,81.6,117,15.9,9.3,30.4,2.05850487540628,27.8636856101645,18.428050822417,1.5,192.5,19.302,614397640.24,648,"DE27","DE"
48200,5.7,81,131,24.6,10.9,46.7,1.29107981220657,8.99473991817651,19.7720631209819,3.37,4334.3,19.302,614397640.24,648,"DE30","DE"
32500,3,80,88,19.6,16.2,31.3,1.7239922251331,14.865207470633,20.5611425673963,1.75,87.1,19.302,614397640.24,648,"DE40","DE"
51600,6.5,80.2,140,37.3,9.9,33.6,2.63005780346821,15.4120700843608,25.9896171317326,3.25,1740.8,19.302,614397640.24,648,"DE50","DE"
77000,4.5,81.1,209,25,10.2,41.4,1.15838031778575,12.6921387790953,22.3210364514712,2.21,2605.4,19.302,614397640.24,648,"DE60","DE"
57300,4.1,81.6,155,24.3,15.2,34.1,0.649566955363091,17.2110956409982,23.0855735246867,3.38,544.1,19.302,614397640.24,648,"DE71","DE"
38800,3.5,80.6,105,19.2,11.5,31,1.77099343300265,22.7733220768257,19.8395947657239,2.72,195.1,19.302,614397640.24,648,"DE72","DE"
40900,3,80.6,111,24.7,16.2,26.9,1.65966601782604,23.60581918947,20.6615864218912,1.93,147.4,19.302,614397640.24,648,"DE73","DE"
32300,3.8,79.7,88,18.8,14.6,27.3,2.50665172944966,12.5752695700882,22.6438874107268,1.77,71.3,19.302,614397640.24,648,"DE80","DE"
49000,3.9,80.4,133,24.3,12.2,31.2,1.05184402781445,27.4996697926298,17.1311583674548,6.09,197,19.302,614397640.24,648,"DE91","DE"
43200,2.8,80.7,117,21.7,12,30.2,1.57752981916122,19.1612158522509,20.4501731435167,2.53,238.9,19.302,614397640.24,648,"DE92","DE"
32400,3.1,80.7,88,20.8,14.4,26.7,3.3414415567789,17.4497503520676,23.4284982716682,0.87,111.7,19.302,614397640.24,648,"DE93","DE"
39700,3.6,80.9,108,24.9,14.7,26.5,2.5089605734767,22.9220003413552,21.4797747055812,1.03,170.4,19.302,614397640.24,648,"DE94","DE"
45000,4.4,80.4,122,26.7,13.9,29.3,0.649566955363091,18.8790806129247,21.9978347768155,1.95,1006.5,19.302,614397640.24,648,"DEA1","DE"
46200,4.1,81.2,125,21,10,34.8,0.597832855897372,17.0508474576271,19.8886198547215,3.33,613.9,19.302,614397640.24,648,"DEA2","DE"
37200,3.7,80.5,101,24.8,12.5,27.4,1.54560810810811,20.3040540540541,19.6875,1.3,380.2,19.302,614397640.24,648,"DEA3","DE"
42000,3.9,81.3,114,26.5,10.3,26.6,1.54560810810811,27.9697163574323,19.6630411601621,1.9,316.2,19.302,614397640.24,648,"DEA4","DE"
38600,4.2,79.9,105,21.7,14.6,26.7,1.54560810810811,23.6705967276227,20.548604427334,1.84,448.4,19.302,614397640.24,648,"DEA5","DE"
36600,2.8,80.6,99,21.1,16.7,27.2,1.54560810810811,21.932974266906,22.2022740873728,0.89,187,19.302,614397640.24,648,"DEB1","DE"
33800,3.1,81.6,92,12.6,8,28.9,2.84030010718114,18.6903729401561,21.2922810060711,0.93,108.9,19.302,614397640.24,648,"DEB2","DE"
46900,4.2,81.1,127,23,13.7,31.8,1.3420245398773,23.4087423312883,19.0088190184049,4.23,303.6,19.302,614397640.24,648,"DEB3","DE"
37000,3.2,79.8,100,22.6,13.3,27.3,0.717262770185131,21.5955393523483,18.5502895131889,1.67,384.2,19.302,614397640.24,648,"DEC0","DE"
34600,3.4,80.5,94,15.7,5.8,33.7,1.69719827586207,21.2553879310345,18.9655172413793,4.61,205.1,19.302,614397640.24,648,"DED2","DE"
31000,2.3,79,84,18.9,6.3,25.5,3.21390937829294,25.7748014327986,18.7509733686342,1.91,218.2,19.302,614397640.24,648,"DED4","DE"
37100,4.5,80.3,101,25.2,6.3,36.9,1.57539820951052,15.4959557258408,20.7960834397616,2.21,269.7,19.302,614397640.24,648,"DED5","DE"
31600,4.2,78.6,86,23.4,17.2,25.1,1.71082829125808,19.2363863968287,21.9278113916128,1.6,108.1,19.302,614397640.24,648,"DEE0","DE"
36600,3.2,81,99,20.6,14.3,28.3,2.0145735105015,16.7809687098157,22.2460351478783,1.67,188.7,19.302,614397640.24,648,"DEF0","DE"
31800,3.5,79.1,86,22.9,12.6,28.4,1.65966601782604,24.0036881467063,19.8852576580268,2.76,131.7,19.302,614397640.24,648,"DEG0","DE"
78800,5.7,81.6,179,18.2,8.6,54.1,0.407157398478517,8.36815600557163,20.7650273224044,1.75,760,41.494,83374168.2,800,"DK01","DK"
39600,5,80.5,90,14.3,13.8,32.1,1.90375462718139,11.158117398202,23.4796404019038,1.75,118.4,41.494,83374168.2,800,"DK02","DK"
50800,4.5,81.6,115,16.8,10.4,33.9,2.98117154811716,15.8995815899582,24.023709902371,2.98,102,41.494,83374168.2,800,"DK03","DK"
53200,4.8,81.9,121,17.8,9.6,40.2,2.219074598678,15.5177840730249,23.0248662259994,1.75,104.1,41.494,83374168.2,800,"DK04","DK"
46800,5.2,81,106,18.1,8.9,35,2.88637194008038,15.7106320789185,21.6660577274388,4.23,76.5,41.494,83374168.2,800,"DK05","DK"
23600,6.2,77.2,85,15.3,9.8,41.2,2.53205648433696,20.5161499756533,23.5026781366661,1.75,30.6,37.342,11737738.68,395,"EE00","EE"
24100,11.9,79.8,89,21.6,2.5,45,0.610790634543604,11.6389548693587,31.2724804886325,1.79,986.8,22.001,78284466.52,509,"EL30","EL"
10700,13.9,83.1,39,28.1,4.4,27.9,18.4438040345821,5.3314121037464,29.3948126801153,1.02,60.3,22.001,78284466.52,509,"EL41","EL"
16400,18.8,81.6,60,23.2,14.4,24.1,3.00618921308576,6.10079575596817,47.4801061007958,0.27,66.5,22.001,78284466.52,509,"EL42","EL"
14100,16.3,81.7,52,28.8,4.4,27.6,20.5448861098705,7.23537293434569,33.8097364895042,1.88,76.7,22.001,78284466.52,509,"EL43","EL"
11700,18.5,79.3,43,35.3,4.9,24.9,22.4987303199594,13.2046724225495,26.3585576434738,1.08,42.7,22.001,78284466.52,509,"EL51","EL"
13700,16.1,79.3,50,33.7,1.7,33.3,10.9059067027543,14.9020856551505,32.7814042349944,1.39,100.8,22.001,78284466.52,509,"EL52","EL"
14600,19.8,80.7,54,28.9,11.1,27.7,17.741935483871,15.0921658986175,26.6129032258065,0.58,28.5,22.001,78284466.52,509,"EL53","EL"
11400,15.1,82.6,42,28,1.7,30,15.9362549800797,8.46613545816733,32.3705179282869,1.59,36.6,22.001,78284466.52,509,"EL54","EL"
13900,16.7,80,51,26.1,6.9,32.8,16.5238678090575,12.5254997960016,27.702978376173,1.18,51.1,22.001,78284466.52,509,"EL61","EL"
14500,13.2,80.7,54,29.4,4.4,18.8,10.6017191977077,5.73065902578797,52.0057306590258,0.62,89.1,22.001,78284466.52,509,"EL62","EL"
12400,17.5,80.3,46,42,6.9,26,23.1864708500223,8.94526034712951,30.7966177125056,1.48,58.8,22.001,78284466.52,509,"EL63","EL"
16000,17.2,80.5,59,30.8,11.1,24.7,21.1312700106724,19.957310565635,25.7203842049093,0.81,36,22.001,78284466.52,509,"EL64","EL"
14700,12.7,80.8,54,35.8,6.1,24.7,26.4604810996564,9.37653411880216,29.4059891998036,0.72,36.9,22.001,78284466.52,509,"EL65","EL"
23900,11.6,83.9,78,25.2,8.7,41.4,6.20908920890219,15.8687114269684,26.3138208341126,1.1,91.9,20.552,228806445.17,482,"ES11","ES"
23400,12.3,83,76,26.3,12.2,44.6,4.30833117051648,13.8333765896704,24.7599273293538,0.87,96.2,20.552,228806445.17,482,"ES12","ES"
24300,11.3,84,79,21.4,6.3,43.5,2.12234706616729,17.0203911776945,27.5488972118186,0.96,110.7,20.552,228806445.17,482,"ES13","ES"
32900,10.3,84.1,107,16,5.3,55,0.909966812975056,21.9355529386575,22.2567176961781,2.32,304.2,20.552,228806445.17,482,"ES21","ES"
31500,10.7,84.7,103,14.7,8.4,48.7,3.03672316384181,27.6129943502825,19.385593220339,1.91,63.5,20.552,228806445.17,482,"ES22","ES"
27400,11.6,83.4,89,21.3,13.1,40,6.29020729092209,27.3052180128663,21.0864903502502,0.75,62.8,20.552,228806445.17,482,"ES23","ES"
29100,10.3,83.5,95,20,13,40.5,6.04338842975207,19.9552341597796,23.5020661157025,1.02,28,20.552,228806445.17,482,"ES24","ES"
35700,11.7,85.2,116,21.6,9.8,49.7,0.161430923707745,8.7495560649598,24.6311303393278,1.93,846.9,20.552,228806445.17,482,"ES30","ES"
25000,11.6,84.3,82,23.1,12.7,39.3,6.71049885201419,16.4788144437487,23.4189104571071,1.37,25.5,20.552,228806445.17,482,"ES41","ES"
21500,15.7,83.3,70,32.5,15.5,31.3,7.10193363571258,15.7078061589878,27.7512532824063,0.8,25.9,20.552,228806445.17,482,"ES42","ES"
20400,20.2,82.4,66,38.7,14.3,29.2,10.5061349693252,10.9662576687117,24.0030674846626,0.74,25.9,20.552,228806445.17,482,"ES43","ES"
30400,11.7,83.7,99,22.3,14.9,42.5,1.57539820951052,16.9369840716196,27.4270433670503,1.78,239.7,20.552,228806445.17,482,"ES51","ES"
22900,16.1,82.4,75,30.6,13.2,38.2,2.51636861135542,17.0722173360696,30.1280171992573,1.2,217.8,20.552,228806445.17,482,"ES52","ES"
25800,14.3,83.2,84,22.4,15.4,36.3,1.18778280542986,6.59879336349925,35.4260935143288,0.48,244.4,20.552,228806445.17,482,"ES53","ES"
19600,21.9,81.6,64,38.7,17.7,34,8.7051562299087,9.32557541468432,30.0694355149801,1.06,97.8,20.552,228806445.17,482,"ES61","ES"
22100,14.7,82.4,72,33.8,16.6,33.7,11.3060118003508,13.3312071439962,31.3028225163451,1.09,133.5,20.552,228806445.17,482,"ES62","ES"
19700,30.8,78.6,64,43,14.6,24.7,3.19879417183051,8.89065290732288,29.3388429752066,0.21,4190.1,20.552,228806445.17,482,"ES63","ES"
17900,25.4,79.9,58,35.2,14,34.5,12.9787656281008,5.43968776680083,18.6206896551724,0.35,6017.7,20.552,228806445.17,482,"ES64","ES"
19000,23.5,82.6,62,37.8,12,35.6,3.1101353823637,5.43968776680083,37.7972923527259,0.56,301.9,20.552,228806445.17,482,"ES70","ES"
40100,7.7,82.3,97,14,8,40.1,4.13319946452477,18.3902275769746,18.8755020080321,2.74,23.6,42.819,43676126.63,630,"FI19","FI"
57600,7.7,82.3,140,12,6.3,49.8,0.747863247863248,9.2948717948718,22.0322886989554,3.77,186.5,42.819,43676126.63,630,"FI1B","FI"
39800,7.5,81.6,97,13.6,11.4,38,3.42019543973941,16.8973941368078,20.5415309446254,1.87,36.5,42.819,43676126.63,630,"FI1C","FI"
37600,7.8,81.3,91,16.4,8.8,37.6,7.05140454806039,14.5996560290464,17.9438180775846,2.78,6.3,42.819,43676126.63,630,"FI1D","FI"
59400,8,83.8,162,37.3,6.2,54.4,0.175556078402983,7.36973557996851,20.7192369645087,2.83,1031.5,19.391,334083317.76,564,"FR10","FR"
30500,7.2,82.2,83,32.5,7.7,32.7,2.84615384615385,15.2019230769231,22.5192307692308,1.5,65.5,19.391,334083317.76,564,"FRB0","FR"
